Stt,Chủ đề,Từ vựng,Nghĩa
91,Bộ phận cơ thể,bone,xương
92,Bộ phận cơ thể,muscle,cơ bắp
93,Bộ phận cơ thể,throat,cổ họng
94,Bộ phận cơ thể,chest,ngực
95,Bộ phận cơ thể,lung,phổi
96,Bộ phận cơ thể,heel,gót chân
97,Bộ phận cơ thể,back,lưng
98,Bộ phận cơ thể,calf,bắp chân
99,Bộ phận cơ thể,waist,eo
100,Bộ phận cơ thể,beard,râu
101,Vật dụng gia đình,bowl,bát
102,Vật dụng gia đình,chopsticks,đũa
103,Vật dụng gia đình,fork,nĩa
104,Vật dụng gia đình,teapot,ấm trà
105,Vật dụng gia đình,kettle,ấm đun nước
106,Vật dụng gia đình,chopping board,thớt
107,Vật dụng gia đình,kitchen scissors,kéo
108,Vật dụng gia đình,bathtub,bồn tắm
109,Vật dụng gia đình,bath towel,khăn tắm
110,Vật dụng gia đình,bucket,xô
111,Vật dụng gia đình,bath sponge,bông tắm
112,Vật dụng gia đình,conditioner,dầu xả
113,Vật dụng gia đình,whisk,cây đánh trứng
114,Vật dụng gia đình,pot,nồi
115,Vật dụng gia đình,blender,máy xay sinh tố
116,Vật dụng gia đình,microwave,lò vi sóng
117,Vật dụng gia đình,fridge,tủ lạnh
118,Vật dụng gia đình,rice cooker,nồi cơm điện
119,Vật dụng gia đình,showergel,sữa tắm
120,Vật dụng gia đình,comb,lược
121,Thành viên gia đình,uncle,chú
122,Thành viên gia đình,aunt,mợ
123,Thành viên gia đình,cousin,anh chị em họ
124,Thành viên gia đình,brother-in-law,anh rể
125,Thành viên gia đình,niece,cháu gái
126,Thành viên gia đình,nephew,cháu trai
127,Thành viên gia đình,only child,con một
128,Thành viên gia đình,infant,trẻ sơ sinh
129,Thành viên gia đình,twin,anh chị em sinh đôi
130,Thành viên gia đình,triplet,anh chị em sinh ba
131,Thành viên gia đình,sibling,anh chị em ruột
132,Thành viên gia đình,godfather,cha đỡ đầu
133,Thành viên gia đình,half-sister,"chị em cùng cha khác mẹ, cùng mẹ khác cha"
134,Thành viên gia đình,step mother,mẹ kế
135,Thành viên gia đình,son-in-law,con rể
136,Thành viên gia đình,godson,con trai đỡ đầu
137,Thành viên gia đình,goddaughter,con gái đỡ đầu
138,Thành viên gia đình,godmother,mẹ đỡ đầu
139,Thành viên gia đình,daughter-in-law,con dâu
140,Thành viên gia đình,step father,cha dượng
141,Mix 1,brave,dũng cảm
142,Mix 1,cheerful,"sôi nổi, vui tươi"
143,Mix 1,clever,thông minh
144,Mix 1,confident,tự tin
145,Mix 1,easy-going,thoải mái
146,Mix 1,energetic,tràn đầy năng lượng
147,Mix 1,generous,hào phóng
148,Mix 1,grumpy,cáu kỉnh
149,Mix 1,honest,thật thà
150,Mix 1,loyal,trung thành
151,Mix 1,quiet,trầm tính
152,Mix 1,selfish,ích kỷ
153,Mix 1,shy,nhút nhát
154,Mix 1,polite,lịch sự
155,Mix 1,kind,tốt bụng
156,Mix 1,goat,con dê
157,Mix 1,insect,côn trùng
158,Mix 1,bloom,nở hoa
159,Mix 1,bud,chồi
160,Mix 1,bush,bụi cây
161,Mix 2,seed ,hạt giống
162,Mix 2,thorn,gai
163,Mix 2,trunk,thân cây
164,Mix 2,grape,nho
165,Mix 2,juice,nước ép
166,Mix 2,juicy,mọng nước
167,Mix 2,peel,gọt vỏ ngoài
168,Mix 2,ripe,chín
169,Mix 2,bell pepper,ớt chuông
170,Mix 2,broccoli,súp lơ xanh
171,Mix 2,celery,cần tây
172,Mix 2,chili,ớt  
173,Mix 2,cucumber,dưa chuột
174,Mix 2,eggplant,cà tím
175,Mix 2,garlic,tỏi
176,Mix 2,ginger,gừng
177,Mix 2,lettuce,xà lách
178,Mix 2,mushroom,nấm
179,Mix 2,hill,đồi
180,Mix 2,horizon,đường chân trời
181,Mix 3,scenery,phong cảnh
182,Mix 3,valley,thung lũng
183,Mix 3,wild,hoang dã
184,Mix 3,chilly,lạnh lẽo
185,Mix 3,clear,"trong xanh, không có mây"
186,Mix 3,cloudy,nhiều mây
187,Mix 3,foggy,trời nhiều sương
188,Mix 3,forecast,dự báo thời tiết
189,Mix 3,freezing,rét run
190,Mix 3,humid,"ấm ướt, nóng ẩm"
191,Mix 3,drought,hạn hán
192,Mix 3,earthquake,động đất
193,Mix 3,tidal wave,sóng thần
194,Mix 3,tornado,vòi rồng
195,Mix 3,typhoon,bão nhiệt đới
196,Mix 3,waste,rác thải
197,Mix 3,hip,hông
198,Mix 3,kidney,thận
199,Mix 3,thigh,đùi
200,Mix 3,disgusted,kinh tởm
201,Mix 4,guilty,thấy tội lỗi
202,Mix 4,divorce,lo hôn
203,Mix 4,pregnant,mang thai
204,Mix 4,acquaintance,người quuen
205,Mix 4,argue,tranh cãi
206,Mix 4,conflict,xung đột bất đồng
207,Mix 4,enemy,kẻ thù
208,Mix 4,accessories,phụ kiện
209,Mix 4,socks,tất
210,Mix 4,sweater,áo len
211,Mix 4,swimsuit,đồ bơi
212,Mix 4,trousers,quần dài
213,Mix 4,bitter,đắng
214,Mix 4,boil,đun sôi
215,Mix 4,fry,chiên rán
216,Mix 4,grill,nướng
217,Mix 4,herb,thảo mộc
218,Mix 4,liquor,rượu mạnh
219,Mix 4,pork,thịt lợn
220,Mix 4,salty,mặn
221,Mix 5,sauce,nước sốt
222,Mix 5,sour,chua
223,Mix 5,spice,gia vị
224,Mix 5,spicy,cay
225,Mix 5,steam,hấp
226,Mix 5,stir-fry,xào
227,Mix 5,elevator/lift,thang máy
228,Mix 5,real estate,bất động sản
229,Mix 5,skyscraper,nhà chọc trời
